path,relative_path,status,action,container,video_codec,audio_codec,duration,size_mb,reason,repaired_path,backup_path,error
C:\X1_Share\Recordings\TV\Talamasca - The Secret Order [256624]\Season 01\Talamasca - The Secret Order - S01E03 - The Task at Hand.mp4,TV/Talamasca - The Secret Order [256624]/Season 01/Talamasca - The Secret Order - S01E03 - The Task at Hand.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3274.292245,798.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Talamasca - The Secret Order [256624]\Season 01\Talamasca - The Secret Order - S01E05 - The Puzzle Palace.mp4,TV/Talamasca - The Secret Order [256624]/Season 01/Talamasca - The Secret Order - S01E05 - The Puzzle Palace.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,2821.549569,352.3,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\Talamasca - The Secret Order [256624]\Season 01\Talamasca - The Secret Order - S01E06 - The 752.mp4,TV/Talamasca - The Secret Order [256624]/Season 01/Talamasca - The Secret Order - S01E06 - The 752.mp4,ok,none,mpegts,h264,aac,3378.549822,647.2,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\The Boys [76479]\Season 05\The Boys - S05E03 - Every One of You Sons of Bitches.mp4,TV/The Boys [76479]/Season 05/The Boys - S05E03 - Every One of You Sons of Bitches.mp4,ok,none,mpegts,h264,aac,3946.533133,696.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\The Boys [76479]\Season 05\The Boys - S05E04 - King of Hell.mp4,TV/The Boys [76479]/Season 05/The Boys - S05E04 - King of Hell.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3948.460408,578.3,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\The Capture [93166]\Season 01\The Capture - S01E01 - What Happens in Helmand.mp4,TV/The Capture [93166]/Season 01/The Capture - S01E01 - What Happens in Helmand.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3331.575873,353.2,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\The Capture [93166]\Season 01\The Capture - S01E02 - Toy Soldier.mp4,TV/The Capture [93166]/Season 01/The Capture - S01E02 - Toy Soldier.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3380.221678,404.5,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\The Capture [93166]\Season 01\The Capture - S01E03 - Truffle Hog.mp4,TV/The Capture [93166]/Season 01/The Capture - S01E03 - Truffle Hog.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3517.730249,353.9,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\The Capture [93166]\Season 01\The Capture - S01E04 - Blind Spots.mp4,TV/The Capture [93166]/Season 01/The Capture - S01E04 - Blind Spots.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3340.887075,356.8,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\The Capture [93166]\Season 01\The Capture - S01E05 - A Pilgrim of Justice.mp4,TV/The Capture [93166]/Season 01/The Capture - S01E05 - A Pilgrim of Justice.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3569.417868,301.0,ffprobe passed and file is TV-safe enough,,,
C:\X1_Share\Recordings\TV\The Capture [93166]\Season 01\The Capture - S01E06 - Correction.mp4,TV/The Capture [93166]/Season 01/The Capture - S01E06 - Correction.mp4,ok,none,"mov,mp4,m4a,3gp,3g2,mj2",h264,aac,3568.86059,311.1,ffprobe passed and file is TV-safe enough,,,
